#All times in years
#
#time,redshift1,redshift2
0.0,9.524822e-05,8.147955e-05
0.01001001,9.417534e-05,8.058548e-05
0.02002002,9.185076e-05,8.21352e-05
0.03003003,9.256601e-05,8.326769e-05
0.04004004,9.0658665e-05,8.332729e-05
0.05005005,9.030104e-05,8.302927e-05
0.06006006,8.98242e-05,8.46982e-05
0.07007007,8.922815e-05,8.547306e-05
0.08008008,8.755922e-05,8.8214874e-05
0.09009009,8.761883e-05,8.684397e-05
0.1001001,8.499622e-05,8.785725e-05
0.11011011,8.4877014e-05,9.024143e-05
0.12012012,8.612871e-05,8.9108944e-05
0.13013013,8.356571e-05,8.8870525e-05
0.14014015,8.2075596e-05,8.9883804e-05
0.15015015,8.21352e-05,9.11355e-05
0.16016015,7.891655e-05,9.23872e-05
0.17017017,7.939339e-05,9.191036e-05
0.18018018,7.814169e-05,9.351969e-05
0.1901902,7.909536e-05,9.453297e-05
0.2002002,7.659197e-05,9.5546246e-05
0.2102102,7.683039e-05,9.4890594e-05
0.22022022,7.611513e-05,9.536743e-05
0.23023023,7.2956085e-05,9.6440315e-05
0.24024025,7.408857e-05,9.727478e-05
0.25025025,7.343292e-05,9.8347664e-05
0.26026025,7.2062016e-05,0.00010025501
0.27027026,7.1167946e-05,9.930134e-05
0.2802803,7.092953e-05,9.894371e-05
0.2902903,6.902218e-05,0.000100553036
0.3003003,6.9737434e-05,9.936094e-05
0.3103103,6.878376e-05,0.00010073185
0.3203203,6.9618225e-05,0.00010275841
0.33033034,6.5624714e-05,0.00010240078
0.34034035,6.6280365e-05,0.000102460384
0.35035035,6.335974e-05,0.00010538101
0.36036035,6.598234e-05,0.00010430813
0.37037036,6.186962e-05,0.00010603666
0.3803804,6.3061714e-05,0.000105798244
0.3903904,6.16312e-05,0.000105798244
0.4004004,6.1392784e-05,0.00010681152
0.4104104,6.0141087e-05,0.00010854006
0.4204204,5.90086e-05,0.000107228756
0.43043044,5.799532e-05,0.000108242035
0.44044045,5.865097e-05,0.0001090765
0.45045045,5.6385994e-05,0.00010961294
0.46046045,5.6743622e-05,0.00010973215
